figure,panels,sample_state,temperature_C,frequency_Hz,epsilon_real,epsilon_loss,digitization_score_real,digitization_score_loss,selection,provenance
Figure2,A/B,unpoled,10,1584893.2,6.7816092,1.529066,4.2426407,9.486833,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,10,3162277.7,6.1494253,1.39137,10.86278,6.3245553,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,20,6309.5734,12.413793,0.35750218,4.5825757,4.6904158,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,20,12589.254,12.298851,0.45691568,6.4807407,3,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,20,31622.777,12.126437,0.71871611,7.0710678,7.3484692,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,20,63095.734,11.609195,0.89293464,6.7082039,7.2111026,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,20,158489.32,11.206897,1.4045622,6.5574385,6.164414,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,20,316227.77,10.402299,1.761577,4.1231056,9.8994949,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,20,794328.23,9.137931,2.0294439,4.3588989,1,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,20,1584893.2,8.3908046,1.9359104,8.0622577,5.0990195,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,20,3981071.7,6.954023,1.6029428,3.7416574,2.236068,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,20,7943282.3,6.2643678,1.3147781,6.5574385,7.8740079,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,30,19952.623,12.643678,0.43585724,0,0,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,30,39810.717,12.413793,0.5415101,4,0,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,30,79432.823,12.183908,0.79733228,5.3851648,3,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,30,158489.32,11.724138,0.90994762,9,0,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,30,316227.77,11.494253,1.365356,1,5.8309519,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,30,630957.34,10.977011,1.6646061,4,2,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,30,1258925.4,9.6551724,2.0103825,2.236068,0,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,30,2511886.4,8.5632184,2.1075141,8.5440037,8.3666003,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,30,5011872.3,7.2413793,1.864197,3,1.7320508,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,30,10000000,6.8390805,1.7124053,3.6055513,3.1622777,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,40,50118.723,12.701149,0.40799584,3.7416574,2.4494897,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,40,100000,12.701149,0.53138567,1.4142136,3.1622777,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,40,158489.32,12.356322,0.64785141,4.2426407,3.3166248,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,40,316227.77,12.068966,0.859857,3.3166248,3,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,40,501187.23,11.954023,1.2780781,4.2426407,3,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,40,1000000,11.436782,1.6646061,1,3,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,40,1584893.2,10.747126,1.8997153,4.6904158,5.3851648,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,40,3162277.7,9.1954023,2.1885876,2.4494897,1,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,40,5011872.3,9.1954023,2.2093387,2.4494897,8.7749644,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,A/B,unpoled,40,10000000,8.2183908,2.1274965,3,3.1622777,ALPHA_WINDOW,DIGITIZED_SOURCE
